id,text,source,category,verdict,label
60,"A manipulated headline claims a popular Nollywood actor has died, urging fans to share for 'RIP' before the family confirmed anything.",Dubawa,celebrity,false,1
61,A message claims that dialling a particular USSD code lets network staff clone your phone and empty your bank account instantly.,FactCheckHub,scam,misleading,1
62,A viral flyer says JAMB has cancelled this year's UTME and all candidates will be admitted automatically.,Dubawa,education,false,1
63,"A doctored WHO map claims Lagos is the most polluted city on earth, beating every other global megacity.",AfricaCheck,science,misleading,1
64,A forwarded note warns that drinking cold water immediately after hot food causes instant stroke in young Nigerians.,FactCheckHub,health,false,1
65,A viral audio claims the government has approved a law making it illegal to speak any indigenous language in public offices.,Dubawa,politics,false,1
66,"A screenshot claims that a foreign airline is offering free flights out of Nigeria to the first 10,000 people who register.",PesaCheck,scam,false,1
67,A message says the total lunar eclipse will make all pregnant women give birth prematurely unless they stay indoors.,AfricaCheck,science,false,1
68,A recycled 2016 fuel-queue photo is shared as proof of a brand-new petrol scarcity gripping the whole country today.,Dubawa,economy,misleading,1
69,A fake NCDC alert says a new airborne disease is spreading through mobile phone screens and people should stop using WhatsApp.,FactCheckHub,health,false,1
70,A viral claim says the ozone layer above West Africa has completely disappeared and sunlight will now burn human skin in seconds.,AfricaCheck,science,false,1
71,A forwarded message asserts that a particular brand of noodles contains plastic wax that the body can never digest.,Dubawa,health,misleading,1
72,The Central Bank of Nigeria extended the deadline for swapping old naira notes following a Supreme Court ruling in 2023.,TheCable,economy,true,0
73,INEC introduced the Bimodal Voter Accreditation System (BVAS) to verify voters using fingerprints and facial recognition at polling units.,AfricaCheck,elections,true,0
74,The World Health Organization recommends regular handwashing with soap and water to reduce the spread of respiratory infections.,Dubawa,health,true,0
75,"Nigeria officially removed the petrol subsidy in 2023, leading to an increase in pump prices across the country.",TheCable,economy,true,0
76,"NAFDAC is the Nigerian agency responsible for regulating and approving food, drugs and cosmetics before they are sold to the public.",FactCheckHub,health,true,0
77,The National Bureau of Statistics publishes Nigeria's official inflation figures on a monthly basis.,PesaCheck,economy,true,0
78,Lassa fever is spread mainly through contact with food or items contaminated by the urine or faeces of infected rats.,NCDC,health,true,0
79,The Nigeria Centre for Disease Control advises people with symptoms of an infectious disease to call the toll-free line and isolate.,Dubawa,health,true,0
80,Nigeria's 2023 presidential election was conducted across 36 states and the Federal Capital Territory in February 2023.,AfricaCheck,elections,true,0
81,"The Central Bank of Nigeria set the eNaira as the country's official central bank digital currency, launched in October 2021.",TheCable,economy,true,0
82,"Malaria is transmitted to humans through the bite of an infected female Anopheles mosquito, according to the WHO.",AfricaCheck,health,true,0
83,The Nigerian government introduced the National Identification Number (NIN) as a unique identifier managed by NIMC.,FactCheckHub,politics,true,0
84,JAMB conducts the Unified Tertiary Matriculation Examination (UTME) as a computer-based test for admission into Nigerian universities.,Dubawa,education,true,0
85,"Routine childhood immunisation protects against diseases such as measles, polio, tuberculosis and diphtheria.",AfricaCheck,health,true,0
86,The Lagos State Government operates the Bus Rapid Transit (BRT) system to ease commuting along major corridors in the city.,TheCable,transport,true,0
87,"The Dangote Refinery in Lekki, Lagos, is one of the largest single-train refineries built to process crude oil in Africa.",PesaCheck,economy,true,0
88,COVID-19 vaccines authorised for use in Nigeria went through clinical trials and regulatory review before approval by NAFDAC.,Dubawa,health,true,0
89,The naira is the official currency of Nigeria and is issued solely by the Central Bank of Nigeria.,AfricaCheck,economy,true,0
90,Voter registration in Nigeria is handled by INEC through the Continuous Voter Registration exercise.,FactCheckHub,elections,true,0
91,"Cholera outbreaks in Nigeria are commonly linked to contaminated drinking water and poor sanitation, the NCDC says.",NCDC,health,true,0
92,The Second Niger Bridge connecting Anambra and Delta states was commissioned to ease traffic across the River Niger.,TheCable,infrastructure,true,0
93,Nigeria's House of Representatives and Senate together make up the bicameral National Assembly.,AfricaCheck,politics,true,0
94,"Tuberculosis is a treatable bacterial disease, and free treatment is available at accredited health facilities in Nigeria.",Dubawa,health,true,0
95,The Federal Inland Revenue Service is responsible for assessing and collecting federal taxes such as company income tax and VAT.,PesaCheck,economy,true,0
96,Insecticide-treated mosquito nets are distributed in malaria-endemic parts of Nigeria to reduce transmission.,AfricaCheck,health,true,0
97,The Nigerian Meteorological Agency issues seasonal rainfall predictions to guide farmers and disaster planning.,FactCheckHub,science,true,0
98,A citizen must be at least 18 years old to be eligible to register and vote in Nigerian elections.,AfricaCheck,elections,true,0
99,The Nigerian Communications Commission directed the linkage of SIM cards to the National Identification Number.,Dubawa,politics,true,0
100,"Yellow fever is a vaccine-preventable disease, and a single dose offers long-lasting protection, the WHO states.",AfricaCheck,health,true,0
101,Nigeria's fiscal budget is presented by the President and passed into law by the National Assembly each year.,TheCable,politics,true,0
102,The Petroleum Industry Act was signed into law in 2021 to reform the governance of Nigeria's oil and gas sector.,PesaCheck,economy,true,0
103,Regular exercise and a balanced diet help reduce the risk of type 2 diabetes and heart disease.,Dubawa,health,true,0
104,The Federal Road Safety Corps enforces the use of seat belts and speed limits on Nigerian highways.,AfricaCheck,transport,true,0
105,Nigeria's official statistics agency reported the country's population estimate exceeds 200 million people.,FactCheckHub,economy,true,0
106,The National Youth Service Corps (NYSC) requires eligible graduates to complete one year of national service.,TheCable,education,true,0
107,Antibiotics are effective against bacterial infections but not against viral illnesses such as the common cold.,AfricaCheck,health,true,0
108,The Economic and Financial Crimes Commission is Nigeria's agency for investigating financial crimes such as fraud and money laundering.,Dubawa,politics,true,0
109,Exclusive breastfeeding for the first six months is recommended by the WHO for the health of infants.,AfricaCheck,health,true,0
110,"The Nigerian stock market is operated by the Nigerian Exchange Group, formerly the Nigerian Stock Exchange.",PesaCheck,economy,true,0
111,"Lagos is Nigeria's most populous city and its main commercial centre, while Abuja is the federal capital.",AfricaCheck,geography,true,0
112,The Nigeria Police Force operates emergency response lines that citizens can call to report crimes.,Dubawa,security,true,0
113,The Universal Basic Education programme provides free and compulsory primary and junior secondary education in Nigeria.,TheCable,education,true,0
114,"Hepatitis B can be prevented through vaccination, which is part of Nigeria's routine immunisation schedule.",AfricaCheck,health,true,0
115,The Central Bank of Nigeria uses the Monetary Policy Rate as its main tool for controlling inflation and interest rates.,PesaCheck,economy,true,0
116,INEC uses the IReV portal to upload scanned copies of polling-unit result sheets for public viewing.,FactCheckHub,elections,true,0
117,"Drinking clean, treated water helps prevent water-borne diseases such as typhoid and cholera.",Dubawa,health,true,0
118,The Nigerian passport is issued by the Nigeria Immigration Service to citizens for international travel.,AfricaCheck,politics,true,0
119,"Farmers in northern Nigeria commonly cultivate crops such as millet, sorghum, maize and groundnut.",PesaCheck,agriculture,true,0
120,"The Sustainable Development Goals include targets on ending poverty, improving health and expanding access to education by 2030.",AfricaCheck,development,true,0
121,Nigeria gained independence from British colonial rule on 1 October 1960.,TheCable,history,true,0
122,The National Health Insurance Authority coordinates health insurance coverage for Nigerians under a 2022 law.,Dubawa,health,true,0
123,The Nigerian Electricity Regulatory Commission regulates tariffs and standards in the country's power sector.,PesaCheck,economy,true,0
124,Handwashing with soap before eating and after using the toilet reduces the spread of diarrhoeal diseases.,AfricaCheck,health,true,0
125,The West African Examinations Council conducts the WASSCE for secondary school students across the region.,FactCheckHub,education,true,0
126,The River Niger and River Benue are the two largest rivers in Nigeria and meet at Lokoja.,AfricaCheck,geography,true,0
127,"Sickle cell disease is an inherited blood disorder, and genotype testing helps couples understand their risk.",Dubawa,health,true,0
128,The Federal Ministry of Health coordinates national responses to disease outbreaks alongside the NCDC.,AfricaCheck,health,true,0
129,"The naira redesign policy in 2022 introduced new designs for the N200, N500 and N1,000 notes.",TheCable,economy,true,0
130,"Regular antenatal care improves outcomes for mothers and babies during pregnancy, health authorities advise.",AfricaCheck,health,true,0
131,"The Nigerian Army, Navy and Air Force make up the country's armed forces under the Ministry of Defence.",Dubawa,security,true,0
